Grade,Subject,Topic,Description,Resource 1,Resource 2,Resource 3
Grade 6,English,Distinguishing explicit textual statements from implicit meanings and authorial assumptions,,,,
Grade 6,English,"Evaluating fact, opinion, belief, substantiated assertion, and value judgment",,,,
Grade 6,English,"Causal reasoning: identifying single-cause, multi-cause, causal chain, and unintended consequence structures",,,,
Grade 6,English,"Comparative analysis: comparing and contrasting texts, authors' styles, genres, perspectives, and multimedia adaptations",,,,
Grade 6,English,"Narrative devices: analyzing chronological pacing, flashbacks, foreshadowing, in media res, frame stories, and suspense",,,,
Grade 6,English,"Informational text structures: description, chronological/sequential, cause and effect, compare and contrast, problem and solution, order of importance / hierarchical",,,,
Grade 6,English,"Evaluating non-fiction text features: headers, subheadings, diagrams, charts, graphs, infographics, sidebars, footnotes, photo captions, glossaries, indexes, tables of contents",,,,
Grade 6,English,"Determining central ideas, identifying essential supporting details, and writing objective, unbiased summaries",,,,
Grade 6,English,"Analyzing author's purpose (persuade, inform, entertain, explain, describe), author's perspective, tone, and rhetorical techniques",,,,
Grade 6,English,"Propaganda techniques and commercial bias: bandwagon, testimonial, plain folks, card stacking, glittering generalities, name-calling, transfer, and emotional appeal",,,,
Grade 6,English,"Poetic forms: free verse, haiku, tanka, limerick, ballad, sonnet, elegy, and narrative poetry",,,,
Grade 6,English,"Poetry mechanics: stanza types (couplets, tercets, quatrains), rhythm, meter (basic scansion), rhyme schemes, imagery, and sound devices",,,,
Grade 6,English,"Drama analysis: script format, dialogue, monologue, soliloquy, stage directions, scene/act structure, dramatic tension, and character interaction",,,,
Grade 6,English,"Media and visual literacy: interpreting visual rhetoric, infographics, political cartoons, public service announcements, print advertisements, and identifying digitally altered media",,,,
Grade 6,English,"Oral communication: active listening protocols, taking systematic notes from oral lectures, asking critical questions",,,,
Grade 6,English,"Oral communication: formal presentations, argumentative speeches, persuasive pitches, and literature reviews using appropriate vocal projection, intonation, pacing, posture, and eye contact",,,,
Grade 6,English,"Oral communication: participating in collaborative discussions, Socratic seminars, formal debates (constructive speeches, cross-examination, rebuttals), and panel presentations",,,,
Grade 6,English,"Oral communication: expressive oral interpretation, dramatic monologues, readers' theater, and speech choir performances",,,,
Grade 6,English,"The writing process: pre-writing (brainstorming, clustering, concept mapping, formal outlining), drafting, revising, editing/proofreading, and publishing",,,,
Grade 6,English,"Paragraph development: focused topic sentence, relevant supporting details/evidence, logical organization, cohesive transitional devices, and a synthesizing concluding sentence",,,,
Grade 6,English,"Multi-paragraph essay structure: introductory paragraph with hook, contextual background, and clear thesis statement; body paragraphs with topic sentences and evidence; concluding paragraph with restated thesis and call to action/synthesis",,,,
Grade 6,English,"Narrative writing: composing fictional and autobiographical narratives featuring authentic character development, compelling conflict, believable dialogue, sensory details, pacing, and organic resolutions",,,,
Grade 6,English,"Descriptive writing: crafting sensory-rich descriptions utilizing precise spatial organization, vivid modifiers, and figurative language",,,,
Grade 6,English,"Expository / Informative writing: cause-and-effect essays, comparative analysis essays, descriptive process explanations, and research summaries",,,,
Grade 6,English,"Argumentative / Persuasive writing: formulating a clear claim statement, providing reasoned logical arguments backed by verifiable evidence, addressing counterclaims/rebuttals, and establishing a call to action",,,,
Grade 6,English,"Functional writing: formal business letters, professional email correspondence, letters of inquiry, letters of complaint, and formal invitations",,,,
Grade 6,English,"Research methodology: formulating inquiry questions, gathering data from primary and secondary print/digital sources, evaluating source credibility, currency, authority, and objectivity",,,,
Grade 6,English,"Synthesizing information across multiple texts, taking structured notes (paraphrasing, summarizing, direct quotation), and ethical use of intellectual property (avoiding plagiarism)",,,,
Grade 6,English,"Bibliographic citation mechanics: recording author, title, container, publisher, publication date, and URL/access information",,,,
Grade 6,English,"Proofreading and revision: evaluating structural unity, logical coherence, sentence variety, diction, voice, and mechanical accuracy using standard proofreading marks",,,,
Grade 6,Filipino,Ortograpiyang Pambansa: Mga tuntunin sa pagbabaybay ng mga katutubong salita at salitang hiram,,,,
Grade 6,Filipino,"Panghihiram ng mga salita: Pagbaybay ayon sa bigkas, pagpapanatili ng orihinal na baybay, at wastong gamit ng walong dagdag na titik (c, f, j, ñ, q, v, x, z)",,,,
Grade 6,Filipino,Pagsasaayos ng mga salita nang paalpabeto batay sa una hanggang ikalimang titik at paggamit ng pamatnubay na salita,,,,
Grade 6,Filipino,"Kayarian ng pantig at pagpapantig ng mga salitang may klaster, diptonggo, at magkakatabing patinig",,,,
Grade 6,Filipino,"Paggamit ng pahiwatig sa konteksto (context clues) upang matukoy ang kasingkahulugan, kasalungat, at pahiwatig ng mga salita",,,,
Grade 6,Filipino,"Denotasyon (tiyak at literal na kahulugan) at Konotasyon (pahiwatig, emosyonal, o simbolikong kahulugan)",,,,
Grade 6,Filipino,"Pagkiklino o Clining: Pag-aayos ng mga salita ayon sa tindi, sidhi, o antas ng ipinapahayag na kahulugan",,,,
Grade 6,Filipino,"Kayarian ng Salita: Payak, Maylapi, Inuulit (Ganap at Parsyal), at Tambalan (Ganap at Di-ganap)",,,,
Grade 6,Filipino,"Paglalapi at Pagbabagong Morpoponemiko: Asimilasyon (Parisyal at Ganap), Pagpapalit ng Ponema, Paglilipat-diin, Pagkakaltas ng Ponema, at Metatesis",,,,
Grade 6,Filipino,"Pagkilala at mabisang paggamit ng mga Sawikain / Idyoma, Salawikain, at Kasabihan sa pasulat at pasalitang komunikasyon",,,,
Grade 6,Filipino,"Paggamit ng mga pangkalahatang sanggunian: Diksyunaryo, tesauro, ensayklopediya, atlas, almanake, peryodiko, at mapagkakatiwalaang online sources",,,,
Grade 6,Filipino,"Pagsusuri sa mga bahagi ng entri sa diksyunaryo: Pagbaybay, gabay sa pagbigkas, bahagi ng pananalita, etimolohiya, at iba't ibang depinisyon ayon sa larangan",,,,
Grade 6,Filipino,"Wastong paggamit ng magagalang na pananalita sa pakikipagdebate, pagbibigay ng argumento, pagsang-ayon, at pagsalungat",,,,
Grade 6,Filipino,Pangngalan: Uri ng Pangngalan (Pantangi at Pambalana),,,,
Grade 6,Filipino,Klasipikasyon ng Pangngalang Pambalana: Tahas (Kongkreto: Palansak at Di-palansak) at Basal (Di-kongkreto / Konseptwal),,,,
Grade 6,Filipino,"Kasarian ng Pangngalan: Panlalaki, Pambabae, Di-tiyak, at Walang Kasarian",,,,
Grade 6,Filipino,"Kailanan ng Pangngalan: Isahan, Dalawahan, at Maramihan",,,,
Grade 6,Filipino,"Kaukulan at Gamit ng Pangngalan sa Pangungusap: Simuno / Paksa, Kaganapang Pansimuno, Pamuno, Tuwirang Layon (Layon ng Pandiwa), at Layon ng Pang-ukol",,,,
Grade 6,Filipino,"Panghalip Panao: Panauhan (Una, Ikalawa, Ikatlo), Kailanan (Isahan, Dalawahan, Maramihan), at Kaukulan (Palagyo, Palayon, Paari)",,,,
Grade 6,Filipino,"Panghalip Pamatlig: Anyong Pronominal (ito, iyan, iyon), Panawag-pansin / Pahimaton (eto, ayan, ayon), Patulad (ganito, ganyan, ganoon), at Panlunan (dito, diyan, doon)",,,,
Grade 6,Filipino,"Panghalip Pananong: Isahan at Maramihan sa pagbuo ng mga payak, tambalan, at analitikal na mga tanong",,,,
Grade 6,Filipino,"Panghalip Panaklaw: Tiyak at Di-tiyak na dami o kalahatan (bawat isa, madla, sinuman, anuman, alinman, kailanman, saanman, pulos, tanan)",,,,
Grade 6,Filipino,"Panghalip Pamanggit: Paggamit ng mga panghalip na nag-uugnay ng dalawang kaisipan o sugnay (na, -ng)",,,,
Grade 6,Filipino,"Pandiwa: Pagkilala sa mga salitang nagpapahayag ng kilos, gawa, proseso, o kalagayan",,,,
Grade 6,Filipino,"Aspekto ng Pandiwa: Naganap o Perpektibo, Katatapos (gamit ang unlaping 'ka-'), Nagaganap o Imperpektibo, at Magaganap o Kontemplatibo",,,,
Grade 6,Filipino,"Pokus ng Pandiwa: Pokus sa Tagaganap o Aktor (ang paksa ang tagaganap ng kilos: -um-, mag-, ma-, mang-)",,,,
Grade 6,Filipino,"Pokus ng Pandiwa: Pokus sa Layon o Gol (ang paksa ang tumatanggap ng kilos: -in, -i-, ipa-)",,,,
Grade 6,Filipino,"Pokus ng Pandiwa: Pokus sa Ganapan o Lokatib (ang paksa ang pook na pinangyarihan ng kilos: -an/-han, pag-...-an)",,,,
Grade 6,Filipino,Pokus ng Pandiwa: Pokus sa Gamit o Instrumental (ang paksa ang kasangkapan sa pagsasagawa ng kilos: ipang-),,,,
Grade 6,Filipino,"Pokus ng Pandiwa: Pokus sa Sanhi o Kosatib (ang paksa ang kadahilanan ng kilos: ika-, ikina-, ikapag-)",,,,
Grade 6,Filipino,"Pokus ng Pandiwa: Pokus sa Pinaglalaanan o Benepaktib (ang paksa ang pinaglalaanan o nakikinabang sa kilos: ipag-, igapang-)",,,,
Grade 6,Filipino,"Pokus ng Pandiwa: Pokus sa Direksyon o Direksyunal (ang paksa ang direksyon o tinutungo ng kilos: -an, -han)",,,,
Grade 6,Filipino,"Kaganapan ng Pandiwa: Kaganapang Tagaganap, Layon, Ganapan, Gamit, Sanhi, Tagatanggap, at Direksyunal",,,,
Grade 6,Filipino,Kaganyakan at Pandiwang Pawatas (Infinitive),,,,
Grade 6,Filipino,Pang-uri: Uri ng Pang-uri (Panlarawan at Pamilang),,,,
Grade 6,Filipino,"Pang-uring Pamilang: Patakaran, Panunod, Pamahagi, Pahalaga, Palansak, at Patakda",,,,
Grade 6,Filipino,"Kailanan ng Pang-uri: Isahan, Dalawahan, at Maramihan",,,,
Grade 6,Filipino,"Kaantasan ng Pang-uri: Lantay, Pahambing (Magkatulad, Di-magkatulad: Pasahol at Palamang), at Pasukdol",,,,
Grade 6,Filipino,Pang-abay: Pagkakaiba at wastong gamit ng Pang-uri at Pang-abay,,,,
Grade 6,Filipino,"Uri ng Pang-abay: Pamaraan, Pamanahon (May Pananda, Walang Pananda, Payak), at Panlunan",,,,
Grade 6,Filipino,"Uri ng Pang-abay: Pang-agam (pag-aalinlangan), Panang-ayon (pagsang-ayon), Pananggi (pagtanggi), Panggaano (dami, sukat, o timbang), Kundisyunal (kondisyon), Pamitagan (paggalang), at Panulad (pagtutulad)",,,,
Grade 6,Filipino,"Pang-angkop: Wastong gamit at paglalapat ng na, -ng, at -g sa pagbuo ng mga parirala at pangungusap",,,,
Grade 6,Filipino,"Pangatnig: Paggamit ng mga pangatnig na Pamukod, Pananhi, Paninsay, Panubali, Panlinaw, Panapos, at Panulad",,,,
Grade 6,Filipino,"Pang-ukol: Paggamit ng ukol sa/kay, para sa/kay, laban sa/kay, hinggil sa/kay, ayon sa/kay, alinsunod sa/kay, tungkol sa/kay, alinsunod sa/kay",,,,
Grade 6,Filipino,"Pantukoy: Paggamit ng mga pantukoy na Pantangi (si, sina, ni, nina, kay, kina) at Pambalana (ang, ang mga)",,,,
Grade 6,Filipino,Bahagi ng Pangungusap: Simuno / Paksa (Payak at Buo) at Panaguri (Payak at Buo),,,,
Grade 6,Filipino,Ayos ng Pangungusap: Karaniwang Ayos (Panaguri bago Simuno) at Di-Karaniwang Ayos (Simuno bago Panaguri na may 'ay'),,,,
Grade 6,Filipino,Paglilipat at pagbabago ng ayos ng pangungusap mula Karaniwan patungong Di-Karaniwan at pabaligtad,,,,
Grade 6,Filipino,"Uri ng Pangungusap ayon sa Gamit: Pasalaysay o Paturol, Patanong, Pautos, Pakiusap, at Padamdam",,,,
Grade 6,Filipino,"Kayarian ng Pangungusap: Payak, Tambalan, Hugnayan, at Langkapan",,,,
Grade 6,Filipino,"Wastong gamit ng mga Bantas: Tuldok (.), Tandang Pananong (?), Tandang Padamdam (!), Kuwit (,), Gitling (-), Tutuldok (:), Tuldukuwit (;), Panipi ("" ""), Panaklong (( )), at Kudlit (')",,,,
Grade 6,Filipino,"Pakikinig nang may Pag-unawa: Pagtatala ng mahahalagang detalye, pagsunod sa masalimuot na panuto, at pagsusuri ng napakinggang diskurso",,,,
Grade 6,Filipino,"Pagsusuri ng mga Elemento ng Maikling Kuwento: Tauhan (Protagonista, Antagonista, Lapad, Bilog), Tagpuan, Banghay, Tunggalian, at Resolusyon",,,,
Grade 6,Filipino,"Pagsusuri sa Banghay ng Kuwento: Simula, Saglit na Kasiglahan, Kasukdulan, Kakalasan, at Wakas",,,,
Grade 6,Filipino,"Pagtukoy sa mga Uri ng Tunggalian: Tao laban sa Tao, Tao laban sa Sarili, Tao laban sa Kalikasan, at Tao laban sa Lipunan",,,,
Grade 6,Filipino,"Pagtukoy sa Pangunahing Paksa, Pangunahing Kaisipan, at mga Pantulong na Kaisipan sa binasang teksto",,,,
Grade 6,Filipino,"Pagsusunod-sunod ng mga pangyayari sa kuwento gamit ang balangkas, timeline, o graphic organizer",,,,
Grade 6,Filipino,"Pagtukoy sa Sanhi at Bunga ng mga pangyayari sa masalimuot na teksto, artikulo, at balita",,,,
Grade 6,Filipino,"Paghinuha sa damdamin, motibo, layunin, at katangian ng mga tauhan batay sa kanilang ikinilos, sinabi, at reaksyon",,,,
Grade 6,Filipino,Paghuhula sa kalalabasan o susunod na mga pangyayari batay sa pahiwatig at dating kaalaman,,,,
Grade 6,Filipino,"Pagtukoy sa pagkakaiba ng Katotohanan (Fact) at Opinyon (Opinion) sa mga balita, editoryal, at komentaryo",,,,
Grade 6,Filipino,"Pagsusuri sa Layunin ng May-akda (magbigay-impormasyon, manghikayat, mang-aliw, magturo ng aral, magpaliwanag) at tono/himig ng teksto",,,,
Grade 6,Filipino,"Pagsusuri sa mga Elemento ng Tula: Sukat, Tugma, Saknong, Taludtod, Kariktan, at Talinghaga",,,,
Grade 6,Filipino,"Pagtukoy at pagsusuri ng mga Tayutay sa Panitikan: Pagtutulad (Simile), Pagwawangis (Metaphor), Pagsasatao (Personification), Pagmamalabis (Hyperbole), at Pagtawag (Apostrophe)",,,,
Grade 6,Filipino,"Pagsusuri sa mga Elemento ng Dula: Iskrip, Aktor/Tauhan, Tagpuan, Tanghalan, Direktor, Diyalogo, at Yugto/Tagpo",,,,
Grade 6,Filipino,"Pagsusuri sa mga Anyo ng Panitikan: Alamat, Pabula, Parabula, Epiko, Kwentong-Bayan, Mito, at Sanaysay",,,,
Grade 6,Filipino,"Pagsusuri ng Tekstong Ekspositori / Impormatibo: Deskripsyon, Pagkakasunod-sunod (Kronolohikal at Prosidyural), Sanhi at Bunga, Paghahambing at Pagkokontra, at Problema at Solusyon",,,,
Grade 6,Filipino,"Pagsusuri ng mga Bahagi ng Pahayagan: Pangunahing Balita, Pangulong Tudling / Editoryal, Balitang Panlalawigan, Balitang Pandaigdig, Lathalain, Pampalakasan, Klasipikadong Anunsyo, at Obitwaryo",,,,
Grade 6,Filipino,"Pagsusuri ng Iba't Ibang Anyo ng Media at Propaganda: Pagsusuri ng Patalastas, Editorial Cartoon, at Balitang Pangmadla",,,,
Grade 6,Filipino,"Pagsulat ng talata gamit ang wastong estruktura: Pamaksang Pangungusap, mga Pansuportang Pangungusap, mga Panandang Pandiskurso / Pang-ugnay, at Pangwakas na Pangungusap",,,,
Grade 6,Filipino,"Pagsulat ng iba't ibang uri ng Liham-Pangkaibigan: Liham Pagbating, Paanyaya, Pasasalamat, Pakikiramay, Paumanhin",,,,
Grade 6,Filipino,"Pagsulat ng iba't ibang uri ng Liham-Pangangalakal: Liham ng Pag-aaplay, Liham ng Paghingi ng Pahintulot, Liham ng Pag-order, Liham ng Reklamo, at Liham ng Pagbibitiw (panimula)",,,,
Grade 6,Filipino,Pagsulat ng Buod o Lagom (Summary / Précis) mula sa binasang kuwento o artikulo,,,,
Grade 6,Filipino,"Pagsulat ng Balangkas (Outline) na may dalawa hanggang tatlong antas (Romano, Malalaking Titik, at Arabikong Bilang)",,,,
Grade 6,Filipino,Pagsulat ng Talambuhay (Pansarili at ng Ibang Tao),,,,
Grade 6,Filipino,"Pagsulat ng Balita, Editoryal, Lathalain, Islogan, at Patalastas",,,,
Grade 6,Filipino,Pagsulat ng Panuto o Prosidyural na Teksto (Hakbang sa paggawa ng isang proyekto o resipe),,,,
Grade 6,Filipino,"Wastong pagsulat sa paraang kabit-kabit (cursive writing) nang may tamang anyo, kalinisan, espasyo, at wastong bantas",,,,
Grade 6,Filipino,"Pasalitang Pagpapahayag: Masining na Pagkukuwento, Sabayang Pagbigkas, Deklamasyon, at Readers' Theater",,,,
Grade 6,Filipino,"Pasalitang Pagpapahayag: Pakikilahok sa Balagtasan, Pagtatalumpati (Impromptu at Extemporaneous), at Pormal na Debate",,,,
Grade 6,Social Studies,Kinalalagyan ng Pilipinas at ang Epekto Nito sa Malayang Kaisipan at Kamalayang Makabansa,,,,
Grade 6,Social Studies,Pagbubukas ng Suez Canal (1869) at ang Paglaganap ng mga Ideyang Liberal sa Pilipinas,,,,
Grade 6,Social Studies,"Ang Kilusang Propaganda: Mga Layunin, Pamamaraan, at Pahayagang La Solidaridad",,,,
Grade 6,Social Studies,"Mga Pangunahing Propagandista: Jose Rizal, Marcelo H. del Pilar, Graciano Lopez Jaena, Mariano Ponce, Antonio Luna",,,,
Grade 6,Social Studies,Pagtatag ng La Liga Filipina at ang Pagpapatapon kay Dr. Jose Rizal sa Dapitan,,,,
Grade 6,Social Studies,"Pagtatag ng Katipunan (KKK: Kataas-taasang, Kagalang-galangang Katipunan ng mga Anak ng Bayan) ni Andres Bonifacio",,,,
Grade 6,Social Studies,"Mga Layunin, Aral (Kartilya ng Katipunan ni Emilio Jacinto), at Estruktura ng KKK",,,,
Grade 6,Social Studies,"Gampanin at Kontribusyon ng Kababaihan sa Katipunan (Teresa Magbanua, Gregoria de Jesus, Melchora Aquino, Trinidad Tecson)",,,,
Grade 6,Social Studies,"Pagsiklab ng Himagsikang 1896: Pagkakatuklas ng Katipunan, Sigaw sa Pugad Lawin, at Unang Sigwa",,,,
Grade 6,Social Studies,Ang Labanan sa Pinaglabanan at Pagpataw ng Batas Militar sa Walong Lalawigan,,,,
Grade 6,Social Studies,"Kumbensiyon sa Tejeros: Alitan ng Magdiwang at Magdalo, Pagkakahalal kay Emilio Aguinaldo, at Pagbitay sa Magkapatid na Bonifacio sa Maragondon",,,,
Grade 6,Social Studies,"Kasunduan sa Biak-na-Bato: Mga Probisyon, Pagkabigo ng Kasunduan, at Pagpapatapon kina Aguinaldo sa Hong Kong",,,,
Grade 6,Social Studies,Digmaang Espanyol-Amerikano: Labanan sa Look ng Maynila (Battle of Manila Bay) at ang Kasunduan nina Commodore George Dewey at Aguinaldo,,,,
Grade 6,Social Studies,"Pagpapahayag ng Kasarinlan ng Pilipinas sa Kawit, Cavite (Hunyo 12, 1898)",,,,
Grade 6,Social Studies,Pambansang Bandila ng Pilipinas (Marcelang Agoncillo) at Pambansang Awit (Julian Felipe at Jose Palma),,,,
Grade 6,Social Studies,"Kongreso ng Malolos, Saligang Batas ng Malolos, at Pagtatatag ng Unang Republika ng Pilipinas",,,,
Grade 6,Social Studies,"Lihim na Kasunduan sa Paris (Disyembre 10, 1898) at Pagsuko ng Espanya sa Pilipinas pabor sa Estados Unidos",,,,
Grade 6,Social Studies,"Pagsiklab ng Digmaang Pilipino-Amerikano: Insidente sa Tulay ng San Juan (Pebrero 4, 1899)",,,,
Grade 6,Social Studies,"Mga Labanan sa Digmaang Pilipino-Amerikano: Labanan sa Quingua, Labanan sa Caloocan, at Labanan sa Tirad Pass (Heneral Gregorio del Pilar)",,,,
Grade 6,Social Studies,"Mga Kilalang Heneral at Bayani sa Digmaang Pilipino-Amerikano (Heneral Antonio Luna, Apolinario Mabini, Macario Sakay, Miguel Malvar, Vicente Lukban)",,,,
Grade 6,Social Studies,"Mga Karahasan at Taktika ng mga Amerikano: Balangiga Massacre, Water Cure Torture, Reconcentration Act (Zona System)",,,,
Grade 6,Social Studies,"Pagdakip kay Pangulong Emilio Aguinaldo sa Palanan, Isabela at ang Pagwawakas ng Unang Republika",,,,
Grade 6,Social Studies,Mga Uri ng Pamahalaang Itinatag ng mga Amerikano: Pamahalaang Militar at Pamahalaang Sibil,,,,
Grade 6,Social Studies,Komisyong Schurman (First Philippine Commission) at Komisyong Taft (Second Philippine Commission),,,,
Grade 6,Social Studies,"Patakarang Pasipikasyon at Kooptasyon: Sedition Law (1901), Brigandage Act (1902), Reconcentration Act (1903), at Flag Law (1907)",,,,
Grade 6,Social Studies,Sistemang Pampolitika sa Ilalim ng Amerikano: Pagbubuo ng Asamblea ng Pilipinas (1907) at Batas Jones (Philippine Autonomy Act ng 1916),,,,
Grade 6,Social Studies,Mga Misyon sa Kalayaan ng Pilipinas tungo sa Estados Unidos (Os-Rox Mission),,,,
Grade 6,Social Studies,Batas Hare-Hawes-Cutting (1933) at Batas Tydings-McDuffie (Philippine Independence Act ng 1934),,,,
Grade 6,Social Studies,Ang Pamahalaang Komonwelt ng Pilipinas (1935): Saligang Batas ng 1935 at Pamumuno nina Manuel L. Quezon at Sergio Osmeña,,,,
Grade 6,Social Studies,"Mga Programa ng Pamahalaang Komonwelt: Katarungang Panlipunan (Social Justice), Pambansang Wika, Karapatan sa Pagboto ng Kababaihan (Suffrage), at Pambansang Tanggulan",,,,
Grade 6,Social Studies,"Pagbabagong Panlipunan at Pangkultura sa Panahon ng Amerikano: Libreng Edukasyon (Thomasites), Wikang Ingles, Kalusugan at Sanitasyon, Transportasyon at Komunikasyon",,,,
Grade 6,Social Studies,"Malayang Kalakalan (Free Trade): Payne-Aldrich Act (1909), Underwood-Simmons Act (1913), at ang Pagsandig ng Ekonomiya sa US",,,,
Grade 6,Social Studies,"Pagsiklab ng Ikalawang Digmaang Pandaigdig sa Asya at Pagbomba sa Pearl Harbor at Clark Air Base (Disyembre 8, 1941)",,,,
Grade 6,Social Studies,Pagsakop ng mga Hapones sa Maynila at Pagdedeklara ng Maynila bilang Open City,,,,
Grade 6,Social Studies,Labanan sa Bataan at Corregidor: Pagbagsak ng Bataan at ang Martsa ng Kamatayan (Bataan Death March),,,,
Grade 6,Social Studies,Ang Pamahalaang Komonwelt sa Pagpapatapon (Commonwealth in Exile sa Washington D.C.),,,,
Grade 6,Social Studies,Pananakop ng Hapon sa Pilipinas: Pagtatatag ng Philippine Executive Commission at ang Ikalawang Republika ng Pilipinas (Puppet Republic sa ilalim ni Jose P. Laurel),,,,
Grade 6,Social Studies,"Karahasan at Pagmamalupit sa Ilalim ng Hapon: Kempeitai, Comfort Women, Fort Santiago, at Zonipikasyon",,,,
Grade 6,Social Studies,"Kahirapan sa Ekonomiya sa Panahon ng Hapon: Mickey Mouse Money, Kakulangan sa Pagkain, at Bigasang Bayan (BIBA)",,,,
Grade 6,Social Studies,Kilusang Gerilya at ang Hukbalahap (Hukbo ng Bayan Laban sa Hapon) sa Pamumuno ni Luis Taruc,,,,
Grade 6,Social Studies,"Pagbabalik ng mga Sandatahang Amerikano: Leyte Landing (Oktubre 20, 1944) ni Heneral Douglas MacArthur",,,,
Grade 6,Social Studies,Labanan sa Golpo ng Leyte (Battle of Leyte Gulf) at ang Pagpapalaya sa Maynila (Battle of Manila),,,,
Grade 6,Social Studies,Pagwawakas ng Ikalawang Digmaang Pandaigdig at ang Pagsuko ng mga Puwersang Hapones sa Pangunguna ni Heneral Tomoyuki Yamashita,,,,
Grade 6,Social Studies,"Pagkakatatag ng Ikatlong Republika ng Pilipinas at Pagpapahayag ng Kalayaan mula sa Estados Unidos (Hulyo 4, 1946)",,,,
Grade 6,Social Studies,"Mga Hamon sa Pagsasarili: Pinsala ng Digmaan (Rehabilitasyon), Krisis sa Ekonomiya, at Suliranin sa Kapayapaan (Rebelyong Huk)",,,,
Grade 6,Social Studies,"Mga Hindi Pantay na Kasunduan sa pagitan ng Pilipinas at US: Bell Trade Act, Parity Rights, at Military Bases Agreement",,,,
Grade 6,Social Studies,"Mga Pangulo ng Ikatlong Republika, Kanilang mga Programa, at Patakaran: Manuel Roxas (Rehabilitasyon at Pakikipag-ugnayan sa US)",,,,
Grade 6,Social Studies,Mga Pangulo ng Ikatlong Republika: Elpidio Quirino (Presidential Action Committee on Social Amelioration o PACSA at Total Economic Mobilization),,,,
Grade 6,Social Studies,"Mga Pangulo ng Ikatlong Republika: Ramon Magsaysay (Pagbabalik ng Tiwala sa Pamahalaan, Land Reform, at Pagpuksa sa Rebelyong Huk)",,,,
Grade 6,Social Studies,Mga Pangulo ng Ikatlong Republika: Carlos P. Garcia (Filipino First Policy / Patakarang Pilipino Muna at Austerity Program),,,,
Grade 6,Social Studies,"Mga Pangulo ng Ikatlong Republika: Diosdado Macapagal (Agricultural Land Reform Code, Paglipat ng Araw ng Kalayaan sa Hunyo 12, at Pag-angkin sa Sabah)",,,,
Grade 6,Social Studies,"Unang Termino ni Ferdinand Marcos Sr.: Reporma sa Imprastraktura, Green Revolution, at Pagsiklab ng Krisis sa Ekonomiya at Politika",,,,
Grade 6,Social Studies,"Deklarasyon ng Batas Militar (Proklamasyon Blg. 1081 noong Setyembre 21, 1972) at ang Saligang Batas ng 1973",,,,
Grade 6,Social Studies,"Mga Dahilan at Katwiran sa Pagpataw ng Batas Militar (Banta ng Komunismo, Rebelyong Moro, at Karahasan sa Lipunan)",,,,
Grade 6,Social Studies,"Ang Bagong Lipunan: Mga Programa sa Repormang Pansakahan, Imprastraktura, Kultura, at Bagong Kaayusan",,,,
Grade 6,Social Studies,"Mga Epekto at Paglabag sa Karapatang Pantao sa Panahon ng Batas Militar: Salvaging, Torture, Desaparecidos, at Pagkawala ng Malayang Pamamahayag",,,,
Grade 6,Social Studies,"Crony Capitalism, Paglobo ng Utang Panlabas, at Pagbagsak ng Ekonomiya ng Bansa",,,,
Grade 6,Social Studies,"Pagpatay kay Senador Benigno ""Ninoy"" Aquino Jr. sa Manila International Airport (Agosto 21, 1983) at Pagsiklab ng Malawakang Protesta",,,,
Grade 6,Social Studies,Ang Snap Election ng 1986 at ang Pagkilos ng National Movement for Free Elections (NAMFREL),,,,
Grade 6,Social Studies,"Ang Rebolusyong EDSA People Power I (Pebrero 22-25, 1986): Pagkakaisa ng Simbahan, Militar, at Mamamayan sa Mapayapang Paraan",,,,
Grade 6,Social Studies,Pagwawakas ng Diktadurang Marcos at ang Pagpapanumbalik ng Demokrasya sa Ilalim ni Pangulong Corazon C. Aquino,,,,
Grade 6,Social Studies,"Pagtatatag ng Rebolusyonaryong Pamahalaan, Freedom Constitution, at ang Pagpapatibay ng Saligang Batas ng 1987",,,,
Grade 6,Social Studies,"Mga Hamon at Programa ng Ikaapat at Ikalimang Republika ng Pilipinas: Corazon C. Aquino (Comprehensive Agrarian Reform Program o CARP, mga Kudeta, at Pagsabog ng Bulkang Pinatubo)",,,,
Grade 6,Social Studies,"Mga Pangulo ng Ikalimang Republika: Fidel V. Ramos (Philippines 2000, Deregulasyon, Pribatisasyon, at Kasunduang Pangkapayapaan sa MNLF)",,,,
Grade 6,Social Studies,"Mga Pangulo ng Ikalimang Republika: Joseph Ejercito Estrada (Erap Para sa Mahirap, All-Out War sa MILF, Impeachment, at EDSA People Power II)",,,,
Grade 6,Social Studies,"Mga Pangulo ng Ikalimang Republika: Gloria Macapagal-Arroyo (Strong Republic, EVAT Law, Isyung Hello Garci, at Krisis Pampolitika)",,,,
Grade 6,Social Studies,"Mga Pangulo ng Ikalimang Republika: Benigno S. Aquino III (Daang Matuwid, K to 12 Basic Education Program, Pantawid Pamilyang Pilipino Program o 4Ps, at Arbitral Ruling sa West Philippine Sea)",,,,
Grade 6,Social Studies,"Mga Pangulo ng Ikalimang Republika: Rodrigo R. Duterte (War on Drugs, Build Build Build Program, Universal Health Care, Bangsamoro Organic Law)",,,,
Grade 6,Social Studies,"Mga Pangulo ng Ikalimang Republika: Ferdinand ""Bongbong"" Marcos Jr. (Bagong Pilipinas, Modernisasyon ng Agrikultura, at Ugnayang Panlabas)",,,,
